image_id,metric,round,score
combined_0003,DriftScore,0,0.0
combined_0003,DriftScore,1,0.49632135322214654
combined_0003,DriftScore,2,0.056566817607474625
combined_0003,DriftScore,3,0.42774886355098013
combined_0003,DriftScore,4,0.5884643007675877
combined_0003,DriftScore,5,0.44001634951699226
combined_0003,DriftScore,6,0.5066478047369626
combined_0003,DriftScore,7,0.3269126900563114
combined_0003,DriftScore,8,0.3696929765382735
combined_0003,DriftScore,9,0.23900651342949505
combined_0003,DriftScore,10,0.6383969275886139
combined_0003,DriftScore,11,0.5057690726180792
combined_0003,DriftScore,12,0.5328201305630735
combined_0003,DriftScore,13,0.3075840580275537
combined_0003,DriftScore,14,0.33516147017244474
combined_0003,DriftScore,15,0.5202936220872711
combined_0003,DriftScore,16,0.39045901184327986
combined_0003,DriftScore,17,0.4182310446889837
combined_0003,DriftScore,18,0.4582047930414572
combined_0003,DriftScore,19,0.4726671085053943
combined_0003,DriftScore,20,0.6423571220474822
combined_0003,DriftScore_PD,0,0.0
combined_0003,DriftScore_PD,1,0.003970503341406584
combined_0003,DriftScore_PD,2,0.00587111827917397
combined_0003,DriftScore_PD,3,0.0072817800876994925
combined_0003,DriftScore_PD,4,0.009181785280816257
combined_0003,DriftScore_PD,5,0.011312960740178823
combined_0003,DriftScore_PD,6,0.013422196032479405
combined_0003,DriftScore_PD,7,0.01595143275335431
combined_0003,DriftScore_PD,8,0.01855729561066255
combined_0003,DriftScore_PD,9,0.02106598179994358
combined_0003,DriftScore_PD,10,0.023721406934782863
combined_0003,DriftScore_PD,11,0.026456394613805143
combined_0003,DriftScore_PD,12,0.02913358648462842
combined_0003,DriftScore_PD,13,0.03192441190521304
combined_0003,DriftScore_PD,14,0.03478669504901128
combined_0003,DriftScore_PD,15,0.03761223576342066
combined_0003,DriftScore_PD,16,0.040526074095396325
combined_0003,DriftScore_PD,17,0.0434085570878404
combined_0003,DriftScore_PD,18,0.04620103845890197
combined_0003,DriftScore_PD,19,0.049058522612444665
combined_0003,DriftScore_PD,20,0.05189542674925178
combined_0003,DriftScore_SD,0,0.0
combined_0003,DriftScore_SD,1,0.01490090787410736
combined_0003,DriftScore_SD,2,0.0
combined_0003,DriftScore_SD,3,0.01163242757320404
combined_0003,DriftScore_SD,4,0.016265004873275757
combined_0003,DriftScore_SD,5,0.010768041014671326
combined_0003,DriftScore_SD,6,0.012274488806724548
combined_0003,DriftScore_SD,7,0.005634993314743042
combined_0003,DriftScore_SD,8,0.006209909915924072
combined_0003,DriftScore_SD,9,0.0011724084615707397
combined_0003,DriftScore_SD,10,0.013332322239875793
combined_0003,DriftScore_SD,11,0.00816074013710022
combined_0003,DriftScore_SD,12,0.008201628923416138
combined_0003,DriftScore_SD,13,0.0
combined_0003,DriftScore_SD,14,0.0
combined_0003,DriftScore_SD,15,0.005136772990226746
combined_0003,DriftScore_SD,16,0.0
combined_0003,DriftScore_SD,17,0.0
combined_0003,DriftScore_SD,18,0.00042513012886047363
combined_0003,DriftScore_SD,19,0.0
combined_0003,DriftScore_SD,20,0.004630878567695618
