image_id,metric,round,score
combined_0000,DriftScore,0,0.0
combined_0000,DriftScore,1,0.4171401915563259
combined_0000,DriftScore,2,0.5582979801840917
combined_0000,DriftScore,3,0.4760284063171294
combined_0000,DriftScore,4,0.48252722420947936
combined_0000,DriftScore,5,0.5950736627028294
combined_0000,DriftScore,6,0.34404543490918477
combined_0000,DriftScore,7,0.19676881894385923
combined_0000,DriftScore,8,0.31660845410625926
combined_0000,DriftScore,9,0.2632362693196386
combined_0000,DriftScore,10,0.38326707493539103
combined_0000,DriftScore,11,0.33877421659857343
combined_0000,DriftScore,12,0.622533178153218
combined_0000,DriftScore,13,0.49036629460648096
combined_0000,DriftScore,14,0.3412980043753009
combined_0000,DriftScore,15,0.3671689371527658
combined_0000,DriftScore,16,0.4538658064648157
combined_0000,DriftScore,17,0.5696689572218203
combined_0000,DriftScore,18,0.49213664437980864
combined_0000,DriftScore,19,0.4731050691533556
combined_0000,DriftScore,20,0.7739499413955282
combined_0000,DriftScore_PD,0,0.0
combined_0000,DriftScore_PD,1,0.00463135028257966
combined_0000,DriftScore_PD,2,0.006667807465419173
combined_0000,DriftScore_PD,3,0.008302169386297464
combined_0000,DriftScore_PD,4,0.010569695266894996
combined_0000,DriftScore_PD,5,0.013112797867506742
combined_0000,DriftScore_PD,6,0.01564120555606981
combined_0000,DriftScore_PD,7,0.018491502784724747
combined_0000,DriftScore_PD,8,0.02133692934876308
combined_0000,DriftScore_PD,9,0.024128494111614093
combined_0000,DriftScore_PD,10,0.027061040280386806
combined_0000,DriftScore_PD,11,0.029973662331361662
combined_0000,DriftScore_PD,12,0.03296341898385435
combined_0000,DriftScore_PD,13,0.03599667918080321
combined_0000,DriftScore_PD,14,0.039035818639344404
combined_0000,DriftScore_PD,15,0.041994795917222896
combined_0000,DriftScore_PD,16,0.04499288249644451
combined_0000,DriftScore_PD,17,0.048079474199125
combined_0000,DriftScore_PD,18,0.05108476158541938
combined_0000,DriftScore_PD,19,0.054111197370251544
combined_0000,DriftScore_PD,20,0.057187294005416334
combined_0000,DriftScore_SD,0,0.0
combined_0000,DriftScore_SD,1,0.00832231342792511
combined_0000,DriftScore_SD,2,0.011047884821891785
combined_0000,DriftScore_SD,3,0.008914336562156677
combined_0000,DriftScore_SD,4,0.008619874715805054
combined_0000,DriftScore_SD,5,0.010615378618240356
combined_0000,DriftScore_SD,6,0.004580259323120117
combined_0000,DriftScore_SD,7,0.0007754266262054443
combined_0000,DriftScore_SD,8,0.0028736740350723267
combined_0000,DriftScore_SD,9,0.001155078411102295
combined_0000,DriftScore_SD,10,0.003240719437599182
combined_0000,DriftScore_SD,11,0.0016949325799942017
combined_0000,DriftScore_SD,12,0.007387220859527588
combined_0000,DriftScore_SD,13,0.003880903124809265
combined_0000,DriftScore_SD,14,0.0
combined_0000,DriftScore_SD,15,0.0
combined_0000,DriftScore_SD,16,0.0013364404439926147
combined_0000,DriftScore_SD,17,0.0032989084720611572
combined_0000,DriftScore_SD,18,0.0010051876306533813
combined_0000,DriftScore_SD,19,0.0
combined_0000,DriftScore_SD,20,0.006053134799003601
combined_0000,brisque,0,-80.92303466796875
combined_0000,brisque,1,-18.60955810546875
combined_0000,brisque,2,-19.76287841796875
combined_0000,brisque,3,-11.35760498046875
combined_0000,brisque,4,-15.46600341796875
combined_0000,brisque,5,-13.00018310546875
combined_0000,brisque,6,-6.01190185546875
combined_0000,brisque,7,-10.00604248046875
combined_0000,brisque,8,-8.59197998046875
combined_0000,brisque,9,-2.64276123046875
combined_0000,brisque,10,-7.90643310546875
combined_0000,brisque,11,-6.59881591796875
combined_0000,brisque,12,-4.24041748046875
combined_0000,brisque,13,-4.40350341796875
combined_0000,brisque,14,-3.65838623046875
combined_0000,brisque,15,-2.72283935546875
combined_0000,brisque,16,-3.72967529296875
combined_0000,brisque,17,-3.45135498046875
combined_0000,brisque,18,-2.44451904296875
combined_0000,brisque,19,-3.08416748046875
combined_0000,brisque,20,-3.85467529296875
combined_0000,niqe,0,-12.163551179686587
combined_0000,niqe,1,-7.179528025117135
combined_0000,niqe,2,-6.836029010070114
combined_0000,niqe,3,-6.954869084616035
combined_0000,niqe,4,-6.251387037486708
combined_0000,niqe,5,-5.758951109404707
combined_0000,niqe,6,-6.091806767316386
combined_0000,niqe,7,-5.1970593565851155
combined_0000,niqe,8,-4.941102914894534
combined_0000,niqe,9,-5.602491453957531
combined_0000,niqe,10,-4.71156023274473
combined_0000,niqe,11,-4.632632708335698
combined_0000,niqe,12,-4.921421166205827
combined_0000,niqe,13,-4.316228213595722
combined_0000,niqe,14,-4.090848722804132
combined_0000,niqe,15,-4.534867840194647
combined_0000,niqe,16,-3.8439400739396907
combined_0000,niqe,17,-3.92081721358475
combined_0000,niqe,18,-4.301813642162205
combined_0000,niqe,19,-3.9638894279630597
combined_0000,niqe,20,-3.6297987119085486
combined_0000,piqe,0,-58.09010696411133
combined_0000,piqe,1,-18.391040802001953
combined_0000,piqe,2,-17.691396713256836
combined_0000,piqe,3,-13.187202453613281
combined_0000,piqe,4,-15.818168640136719
combined_0000,piqe,5,-13.905532836914062
combined_0000,piqe,6,-12.269766807556152
combined_0000,piqe,7,-13.454240798950195
combined_0000,piqe,8,-12.830427169799805
combined_0000,piqe,9,-11.693523406982422
combined_0000,piqe,10,-12.270467758178711
combined_0000,piqe,11,-12.141135215759277
combined_0000,piqe,12,-11.899584770202637
combined_0000,piqe,13,-10.906173706054688
combined_0000,piqe,14,-10.626736640930176
combined_0000,piqe,15,-10.690982818603516
combined_0000,piqe,16,-10.679426193237305
combined_0000,piqe,17,-9.751545906066895
combined_0000,piqe,18,-9.829707145690918
combined_0000,piqe,19,-9.810730934143066
combined_0000,piqe,20,-8.333983421325684
combined_0000,ilniqe,0,-60.563829235452005
combined_0000,ilniqe,1,-42.98544050657429
combined_0000,ilniqe,2,-41.25464133736876
combined_0000,ilniqe,3,-41.02267545110509
combined_0000,ilniqe,4,-39.624312062508096
combined_0000,ilniqe,5,-39.920773606543484
combined_0000,ilniqe,6,-40.33497328944401
combined_0000,ilniqe,7,-39.761550220852904
combined_0000,ilniqe,8,-40.01986188385089
combined_0000,ilniqe,9,-40.814984075179986
combined_0000,ilniqe,10,-39.50448181556945
combined_0000,ilniqe,11,-41.66978365122705
combined_0000,ilniqe,12,-41.53548026106344
combined_0000,ilniqe,13,-41.06834909015197
combined_0000,ilniqe,14,-40.30236312100903
combined_0000,ilniqe,15,-40.10274886078248
combined_0000,ilniqe,16,-40.998362201850775
combined_0000,ilniqe,17,-42.05209853303079
combined_0000,ilniqe,18,-45.5426099096006
combined_0000,ilniqe,19,-42.502101359577516
combined_0000,ilniqe,20,-42.99710773311389
combined_0000,cnniqa,0,0.7399373054504395
combined_0000,cnniqa,1,0.7368748188018799
combined_0000,cnniqa,2,0.7361941337585449
combined_0000,cnniqa,3,0.6210987567901611
combined_0000,cnniqa,4,0.5988786220550537
combined_0000,cnniqa,5,0.5965377688407898
combined_0000,cnniqa,6,0.4382617771625519
combined_0000,cnniqa,7,0.5109015107154846
combined_0000,cnniqa,8,0.5149628520011902
combined_0000,cnniqa,9,0.39520448446273804
combined_0000,cnniqa,10,0.4766780436038971
combined_0000,cnniqa,11,0.47441089153289795
combined_0000,cnniqa,12,0.36872512102127075
combined_0000,cnniqa,13,0.43317657709121704
combined_0000,cnniqa,14,0.43558230996131897
combined_0000,cnniqa,15,0.35052067041397095
combined_0000,cnniqa,16,0.4169508218765259
combined_0000,cnniqa,17,0.41602349281311035
combined_0000,cnniqa,18,0.349597692489624
combined_0000,cnniqa,19,0.3994816839694977
combined_0000,cnniqa,20,0.40018734335899353
combined_0000,dbcnn,0,0.5907768607139587
combined_0000,dbcnn,1,0.5845205187797546
combined_0000,dbcnn,2,0.5747881531715393
combined_0000,dbcnn,3,0.5225867033004761
combined_0000,dbcnn,4,0.5345348119735718
combined_0000,dbcnn,5,0.5352267026901245
combined_0000,dbcnn,6,0.48412927985191345
combined_0000,dbcnn,7,0.5141710042953491
combined_0000,dbcnn,8,0.5185831189155579
combined_0000,dbcnn,9,0.45663803815841675
combined_0000,dbcnn,10,0.5049750208854675
combined_0000,dbcnn,11,0.5096274614334106
combined_0000,dbcnn,12,0.44089099764823914
combined_0000,dbcnn,13,0.49814119935035706
combined_0000,dbcnn,14,0.4990188479423523
combined_0000,dbcnn,15,0.43383607268333435
combined_0000,dbcnn,16,0.4880264103412628
combined_0000,dbcnn,17,0.4931224584579468
combined_0000,dbcnn,18,0.42686647176742554
combined_0000,dbcnn,19,0.48273178935050964
combined_0000,dbcnn,20,0.48037707805633545
combined_0000,hyperiqa,0,0.6666765809059143
combined_0000,hyperiqa,1,0.5923829078674316
combined_0000,hyperiqa,2,0.5895568132400513
