image_id,metric,round,score
combined_0002,DriftScore,0,0.0
combined_0002,DriftScore,1,0.08398241442768342
combined_0002,DriftScore,2,0.31188112530607204
combined_0002,DriftScore,3,0.26192911518197837
combined_0002,DriftScore,4,0.10382421467827295
combined_0002,DriftScore,5,0.18583277824418076
combined_0002,DriftScore,6,0.23720301363277152
combined_0002,DriftScore,7,0.3887046809088716
combined_0002,DriftScore,8,0.5392760588862261
combined_0002,DriftScore,9,0.7050281539524345
combined_0002,DriftScore,10,0.33998957261871987
combined_0002,DriftScore,11,0.7653669516995147
combined_0002,DriftScore,12,0.5071263669116198
combined_0002,DriftScore,13,0.500655404678632
combined_0002,DriftScore,14,0.5919828657336969
combined_0002,DriftScore,15,0.677570056142722
combined_0002,DriftScore,16,0.6918745657976421
combined_0002,DriftScore,17,0.6830517384865238
combined_0002,DriftScore,18,0.7466244018711965
combined_0002,DriftScore,19,0.7127405330710646
combined_0002,DriftScore,20,0.7906609011856769
combined_0002,DriftScore_PD,0,0.0
combined_0002,DriftScore_PD,1,0.004719041753560305
combined_0002,DriftScore_PD,2,0.006806320743635297
combined_0002,DriftScore_PD,3,0.008236766327172518
combined_0002,DriftScore_PD,4,0.010452520451508462
combined_0002,DriftScore_PD,5,0.012696219515055418
combined_0002,DriftScore_PD,6,0.014796834671869874
combined_0002,DriftScore_PD,7,0.01714512619322964
combined_0002,DriftScore_PD,8,0.01953711936948821
combined_0002,DriftScore_PD,9,0.02176987353919281
combined_0002,DriftScore_PD,10,0.024242299562320112
combined_0002,DriftScore_PD,11,0.026715862945738165
combined_0002,DriftScore_PD,12,0.02921791789898028
combined_0002,DriftScore_PD,13,0.03188033384056045
combined_0002,DriftScore_PD,14,0.03460220869497529
combined_0002,DriftScore_PD,15,0.03722869340951244
combined_0002,DriftScore_PD,16,0.03992821028805338
combined_0002,DriftScore_PD,17,0.04260232373524238
combined_0002,DriftScore_PD,18,0.04514839363077448
combined_0002,DriftScore_PD,19,0.04773477648727988
combined_0002,DriftScore_PD,20,0.050337584945373236
combined_0002,DriftScore_SD,0,0.0
combined_0002,DriftScore_SD,1,0.0007445067167282104
combined_0002,DriftScore_SD,2,0.004900872707366943
combined_0002,DriftScore_SD,3,0.0036136209964752197
combined_0002,DriftScore_SD,4,0.0
combined_0002,DriftScore_SD,5,0.00119820237159729
combined_0002,DriftScore_SD,6,0.001810222864151001
combined_0002,DriftScore_SD,7,0.004381820559501648
combined_0002,DriftScore_SD,8,0.006926044821739197
combined_0002,DriftScore_SD,9,0.009806573390960693
combined_0002,DriftScore_SD,10,0.001990094780921936
combined_0002,DriftScore_SD,11,0.01003149151802063
combined_0002,DriftScore_SD,12,0.004351794719696045
combined_0002,DriftScore_SD,13,0.0036913901567459106
combined_0002,DriftScore_SD,14,0.0049812644720077515
combined_0002,DriftScore_SD,15,0.006174981594085693
combined_0002,DriftScore_SD,16,0.005924001336097717
combined_0002,DriftScore_SD,17,0.005214080214500427
combined_0002,DriftScore_SD,18,0.005982145667076111
combined_0002,DriftScore_SD,19,0.0047869086265563965
