image_id,metric,round,score
combined_0005,DriftScore,0,0.0
combined_0005,DriftScore,1,0.5061607777996683
combined_0005,DriftScore,2,0.5568244913857356
combined_0005,DriftScore,3,0.42322451353594576
combined_0005,DriftScore,4,0.47610920939908924
combined_0005,DriftScore,5,0.3798530920295894
combined_0005,DriftScore,6,0.16815651201485815
combined_0005,DriftScore,7,0.1724987205331118
combined_0005,DriftScore,8,0.43536591960609683
combined_0005,DriftScore,9,0.34633845881111547
combined_0005,DriftScore,10,0.23436679811376093
combined_0005,DriftScore,11,0.262313607850171
combined_0005,DriftScore,12,0.2887839716110198
combined_0005,DriftScore,13,0.315032196306503
combined_0005,DriftScore,14,0.34216925122866954
combined_0005,DriftScore,15,0.3679277872378571
combined_0005,DriftScore,16,0.39490794501845194
combined_0005,DriftScore,17,0.42213675276727247
combined_0005,DriftScore,18,0.4475622152130256
combined_0005,DriftScore,19,0.4736915414565042
combined_0005,DriftScore,20,0.5
combined_0005,DriftScore_PD,0,0.0
combined_0005,DriftScore_PD,1,0.004019140265882015
combined_0005,DriftScore_PD,2,0.005805817898362875
combined_0005,DriftScore_PD,3,0.007219453963140647
combined_0005,DriftScore_PD,4,0.009142227005213499
combined_0005,DriftScore_PD,5,0.011265670880675316
combined_0005,DriftScore_PD,6,0.01343027347077926
combined_0005,DriftScore_PD,7,0.015928871131369045
combined_0005,DriftScore_PD,8,0.01864277687855065
combined_0005,DriftScore_PD,9,0.021183205768465996
combined_0005,DriftScore_PD,10,0.023945501632988454
combined_0005,DriftScore_PD,11,0.02680085650221868
combined_0005,DriftScore_PD,12,0.02950536133721471
combined_0005,DriftScore_PD,13,0.0321871699908605
combined_0005,DriftScore_PD,14,0.034959791361221244
combined_0005,DriftScore_PD,15,0.03759156800806522
combined_0005,DriftScore_PD,16,0.04034815903287381
combined_0005,DriftScore_PD,17,0.043130154885789924
combined_0005,DriftScore_PD,18,0.045727901057236724
combined_0005,DriftScore_PD,19,0.04839756173130713
combined_0005,DriftScore_PD,20,0.05108552454039454
combined_0005,DriftScore_SD,0,0.0
combined_0005,DriftScore_SD,1,0.006455808877944946
combined_0005,DriftScore_SD,2,0.006914615631103516
combined_0005,DriftScore_SD,3,0.004875689744949341
combined_0005,DriftScore_SD,4,0.0053467899560928345
combined_0005,DriftScore_SD,5,0.003728225827217102
combined_0005,DriftScore_SD,6,0.0005076378583908081
combined_0005,DriftScore_SD,7,0.00022949278354644775
combined_0005,DriftScore_SD,8,0.003497406840324402
combined_0005,DriftScore_SD,9,0.0019223690032958984
combined_0005,DriftScore_SD,10,0.0
combined_0005,DriftScore_SD,11,0.0
combined_0005,DriftScore_SD,12,0.0
combined_0005,DriftScore_SD,13,0.0
combined_0005,DriftScore_SD,14,0.0
combined_0005,DriftScore_SD,15,0.0
combined_0005,DriftScore_SD,16,0.0
combined_0005,DriftScore_SD,17,0.0
combined_0005,DriftScore_SD,18,0.0
combined_0005,DriftScore_SD,19,0.0
combined_0005,DriftScore_SD,20,0.0
combined_0005,brisque,0,-92.47576904296875
combined_0005,brisque,1,-18.61248779296875
combined_0005,brisque,2,-20.37030029296875
combined_0005,brisque,3,-11.93865966796875
combined_0005,brisque,4,-14.89471435546875
combined_0005,brisque,5,-12.25897216796875
combined_0005,brisque,6,-5.62420654296875
combined_0005,brisque,7,-10.90838623046875
combined_0005,brisque,8,-9.95135498046875
combined_0005,brisque,9,-4.52362060546875
combined_0005,brisque,10,-9.02459716796875
combined_0005,brisque,11,-8.26190185546875
combined_0005,brisque,12,-4.73846435546875
combined_0005,brisque,13,-6.88006591796875
combined_0005,brisque,14,-6.43670654296875
combined_0005,brisque,15,-3.72967529296875
combined_0005,brisque,16,-4.56561279296875
combined_0005,brisque,17,-4.23455810546875
combined_0005,brisque,18,-3.85662841796875
combined_0005,brisque,19,-3.09100341796875
combined_0005,brisque,20,-3.54510498046875
combined_0005,niqe,0,-12.62771831709057
combined_0005,niqe,1,-6.842046437467803
combined_0005,niqe,2,-6.608038578553613
combined_0005,niqe,3,-6.697832604681871
combined_0005,niqe,4,-5.8832475020207
combined_0005,niqe,5,-5.7527859722833545
combined_0005,niqe,6,-6.098743215245614
combined_0005,niqe,7,-5.264896559816034
combined_0005,niqe,8,-5.065200672079405
combined_0005,niqe,9,-5.542132003906679
combined_0005,niqe,10,-5.115906246246337
combined_0005,niqe,11,-4.836186070594297
combined_0005,niqe,12,-4.958537495126414
combined_0005,niqe,13,-4.634879803456451
combined_0005,niqe,14,-4.351639723508646
combined_0005,niqe,15,-4.686866088323332
combined_0005,niqe,16,-4.161977336478661
combined_0005,niqe,17,-3.9488253014884087
combined_0005,niqe,18,-4.251413605516326
combined_0005,niqe,19,-4.056750864424808
combined_0005,niqe,20,-3.9218064832108976
combined_0005,piqe,0,-58.69199752807617
combined_0005,piqe,1,-15.642477989196777
combined_0005,piqe,2,-14.66518783569336
combined_0005,piqe,3,-9.71313190460205
combined_0005,piqe,4,-12.840582847595215
combined_0005,piqe,5,-11.298639297485352
combined_0005,piqe,6,-9.551712989807129
combined_0005,piqe,7,-10.412679672241211
combined_0005,piqe,8,-10.418447494506836
combined_0005,piqe,9,-8.528633117675781
combined_0005,piqe,10,-9.92541790008545
combined_0005,piqe,11,-8.541534423828125
combined_0005,piqe,12,-8.107244491577148
combined_0005,piqe,13,-9.056855201721191
combined_0005,piqe,14,-8.7767333984375
combined_0005,piqe,15,-8.17739486694336
combined_0005,piqe,16,-8.553631782531738
combined_0005,piqe,17,-7.762105941772461
combined_0005,piqe,18,-7.692715644836426
combined_0005,piqe,19,-7.881317138671875
combined_0005,piqe,20,-6.4690446853637695
combined_0005,ilniqe,0,-61.336135317832564
combined_0005,ilniqe,1,-39.803297147191884
combined_0005,ilniqe,2,-39.30220401621604
combined_0005,ilniqe,3,-39.096689722960136
