image_id,round,DriftScore,DriftScore_PD,DriftScore_SD
edival_IP2P_0,0,0.0,0.0,0.0
edival_IP2P_0,1,1.0,0.5717344880104065,0.4274020195007324
edival_IP2P_0,2,0.979447526553487,0.5690130591392517,0.4118680953979492
edival_IP2P_0,3,0.9627292508311696,0.5645712415377299,0.400897741317749
edival_IP2P_100,0,0.0,0.0,0.0
edival_IP2P_100,1,0.3246577099225201,0.12317073345184326,0.04934358596801758
edival_IP2P_100,2,0.34670811193123485,0.13113293796777725,0.053563714027404785
edival_IP2P_100,3,1.0,0.22498139242331186,0.4844985008239746
edival_IP2P_101,0,0.0,0.0,0.0
edival_IP2P_101,1,0.9840359729611095,0.4578501284122467,0.25593405961990356
edival_IP2P_101,2,0.9420859738850482,0.46198809146881104,0.23222196102142334
edival_IP2P_101,3,0.9107883324588291,0.4729505181312561,0.21026945114135742
edival_IP2P_102,0,0.0,0.0,0.0
edival_IP2P_102,1,0.3643232157116554,0.21024706959724426,0.0658332109451294
edival_IP2P_102,2,0.9244646257305285,0.43216802179813385,0.20934122800827026
edival_IP2P_102,3,1.0,0.5050292909145355,0.21077436208724976
edival_IP2P_103,0,0.0,0.0,0.0
edival_IP2P_103,1,0.5681455883879489,0.1074552908539772,0.12078851461410522
edival_IP2P_103,2,0.7166574110971871,0.1512201391160488,0.1389472484588623
edival_IP2P_103,3,1.0,0.2187852536638578,0.18722659349441528
edival_IP2P_104,0,0.0,0.0,0.0
edival_IP2P_104,1,0.9760391827161078,0.45151159167289734,0.32056671380996704
edival_IP2P_104,2,0.9779976337882983,0.4742378443479538,0.30646026134490967
edival_IP2P_104,3,0.8962448845145172,0.4625188708305359,0.26196742057800293
edival_IP2P_105,0,0.0,0.0,0.0
edival_IP2P_105,1,0.9924117079099317,0.7158479690551758,0.4809858798980713
edival_IP2P_105,2,0.9875237610141414,0.7213903963565826,0.4726163148880005
edival_IP2P_105,3,0.9935107100670615,0.7268795172373453,0.4747433662414551
edival_IP2P_106,0,0.0,0.0,0.0
edival_IP2P_106,1,0.20881184128822233,0.029922962188720703,0.008514344692230225
edival_IP2P_106,2,0.4112444615694381,0.06520964950323105,0.01471930742263794
edival_IP2P_106,3,1.0,0.13410737613836923,0.04377627372741699
edival_IP2P_107,0,0.0,0.0,0.0
edival_IP2P_107,1,0.9284806334894762,0.6015243530273438,0.5465845465660095
edival_IP2P_107,2,0.9902235895739113,0.6697481870651245,0.5598030388355255
edival_IP2P_107,3,0.9870245342906652,0.6831048130989075,0.5452756285667419
edival_IP2P_108,0,0.0,0.0,0.0
edival_IP2P_108,1,0.9593124723124378,0.5106534361839294,0.6096192002296448
edival_IP2P_108,2,0.9983959371264348,0.5413638651371002,0.623091071844101
edival_IP2P_108,3,0.9725820923213702,0.543106218179067,0.5889233648777008
